Date,Price,Open,High,Low,Vol.,Change %
10/9/2014,9528.6,9528.60,9660.00,9528.60,180.65K,-0.68%
10/10/2014,9594.3,9594.30,9660.00,9528.60,274.98K,0.69%
10/13/2014,9528.6,9594.30,9594.30,9462.90,213.33K,-0.68%
10/14/2014,9397.2,9594.30,9594.30,9397.20,483.97K,-1.38%
10/15/2014,9528.6,9462.90,9528.60,9397.20,630.22K,1.40%
10/16/2014,9397.2,9462.90,9528.60,9397.20,435.08K,-1.38%
10/17/2014,9397.2,9397.20,9462.90,9397.20,289.22K,0.00%
10/20/2014,9397.2,9462.90,9462.90,9397.20,249.31K,0.00%
10/21/2014,9397.2,9397.20,9462.90,9397.20,337.62K,0.00%
10/22/2014,9397.2,9397.20,9462.90,9397.20,303.02K,0.00%
10/23/2014,9397.2,9397.20,9462.90,9331.40,108.11K,0.00%
10/24/2014,9331.4,9397.20,9397.20,9265.70,563.92K,-0.70%
10/27/2014,9265.7,9331.40,9397.20,9200.00,305.42K,-0.70%
10/28/2014,9200,9265.70,9331.40,9200.00,664.22K,-0.71%
10/29/2014,9200,9331.40,9331.40,9200.00,722.96K,0.00%
10/30/2014,9200,9200.00,9331.40,9200.00,697.98K,0.00%
10/31/2014,9660,9200.00,9660.00,9134.30,1.41M,5.00%
11/3/2014,9594.3,9660.00,9660.00,9594.30,655.53K,-0.68%
11/4/2014,9594.3,9594.30,9660.00,9528.60,307.04K,0.00%
11/5/2014,9594.3,9528.60,9660.00,9528.60,247.48K,0.00%
11/6/2014,9594.3,9594.30,9660.00,9528.60,133.63K,0.00%
11/7/2014,9594.3,9660.00,9660.00,9528.60,97.86K,0.00%
11/10/2014,9462.9,9594.30,9660.00,9462.90,419.73K,-1.37%
11/11/2014,9397.2,9462.90,9528.60,9397.20,154.03K,-0.69%
11/12/2014,9462.9,9462.90,9528.60,9397.20,61.63K,0.70%
11/13/2014,9462.9,9462.90,9528.60,9462.90,48.93K,0.00%
11/14/2014,9397.2,9462.90,9462.90,9397.20,185.59K,-0.69%
11/17/2014,9397.2,9397.20,9462.90,9331.40,135.52K,0.00%
11/18/2014,9331.4,9462.90,9528.60,9331.40,256.71K,-0.70%
11/19/2014,9265.7,9331.40,9397.20,9265.70,92.84K,-0.70%
11/20/2014,9331.4,9265.70,9397.20,9265.70,169.70K,0.71%
11/21/2014,9397.2,9397.20,9462.90,9265.70,115.22K,0.71%
11/24/2014,9265.7,9331.40,9331.40,9265.70,96.82K,-1.40%
11/25/2014,9265.7,9265.70,9397.20,9265.70,211.48K,0.00%
11/26/2014,9265.7,9265.70,9331.40,9265.70,113.44K,0.00%
11/27/2014,9265.7,9331.40,9331.40,9200.00,200.08K,0.00%
11/28/2014,9200,9265.70,9331.40,9200.00,287.08K,-0.71%
12/1/2014,9200,9265.70,9331.40,9200.00,296.01K,0.00%
12/2/2014,9200,9265.70,9265.70,9200.00,294.81K,0.00%
12/3/2014,9200,9200.00,9331.40,9134.30,669.99K,0.00%
12/4/2014,9528.6,9200.00,9528.60,9200.00,632.87K,3.57%
12/5/2014,9528.6,9594.30,9725.70,9528.60,661.62K,0.00%
12/8/2014,9462.9,9462.90,9462.90,9331.40,269.76K,-0.69%
12/9/2014,9331.4,9397.20,9462.90,9331.40,416.84K,-1.39%
12/10/2014,9331.4,9331.40,9397.20,9265.70,529.22K,0.00%
12/11/2014,9331.4,9331.40,9397.20,9331.40,243.22K,0.00%
12/12/2014,9397.2,9397.20,9397.20,9331.40,94.78K,0.71%
12/15/2014,9331.4,9397.20,9397.20,9331.40,39.24K,-0.70%
12/16/2014,9200,9331.40,9331.40,9200.00,248.01K,-1.41%
12/17/2014,9068.6,9265.70,9265.70,9002.90,754.84K,-1.43%
12/18/2014,9134.3,9068.60,9200.00,9068.60,76.33K,0.72%
12/19/2014,9134.3,9134.30,9200.00,9068.60,213.96K,0.00%
12/22/2014,9265.7,9068.60,9331.40,9068.60,145.40K,1.44%
12/23/2014,9200,9331.40,9331.40,9134.30,51.42K,-0.71%
12/24/2014,9068.6,9331.40,9331.40,9068.60,325.77K,-1.43%
12/25/2014,9068.6,9002.90,9068.60,9002.90,278.21K,0.00%
12/26/2014,9002.9,9068.60,9134.30,8937.20,278.67K,-0.72%
12/29/2014,9002.9,9068.60,9068.60,8937.20,195.08K,0.00%
12/30/2014,9002.9,9002.90,9002.90,8937.20,181.47K,0.00%
12/31/2014,9068.6,9002.90,9134.30,9002.90,121.76K,0.73%
1/5/2015,9134.3,9068.60,9200.00,9068.60,78.07K,0.72%
1/6/2015,9200,9134.30,9397.20,9068.60,161.35K,0.72%
1/7/2015,9462.9,9200.00,9528.60,9200.00,603.52K,2.86%
1/8/2015,9265.7,9397.20,9462.90,9265.70,391.95K,-2.08%
1/9/2015,9528.6,9397.20,9660.00,9331.40,1.12M,2.84%
1/12/2015,9660,9594.30,9922.90,9528.60,2.69M,1.38%
1/13/2015,10185.7,9791.40,10317.20,9725.70,1.85M,5.44%
1/14/2015,10120,10317.20,10448.60,9922.90,1.68M,-0.65%
1/15/2015,9988.6,10120.00,10382.90,9988.60,918.01K,-1.30%
1/16/2015,10054.3,9988.60,10185.70,9857.20,1.53M,0.66%
1/19/2015,10317.2,10382.90,10448.60,10185.70,2.32M,2.61%
1/20/2015,10120,10251.40,10317.20,10120.00,535.03K,-1.91%
1/21/2015,9922.9,10120.00,10120.00,9922.90,1.04M,-1.95%
1/22/2015,10580,9922.90,10580.00,9791.40,3.47M,6.62%
1/23/2015,10908.6,10974.30,11171.40,10777.20,2.53M,3.11%
1/26/2015,11237.2,11040.00,11368.60,10974.30,3.80M,3.01%
1/27/2015,11500,11237.20,11697.20,11040.00,5.65M,2.34%
1/28/2015,12288.6,11500.00,12288.60,11500.00,7.41M,6.86%
1/29/2015,12354.3,12485.70,12814.30,12157.20,5.52M,0.53%
1/30/2015,11828.6,12157.20,12288.60,11697.20,4.10M,-4.26%
2/2/2015,11828.6,11697.20,12157.20,11565.70,3.25M,0.00%
2/3/2015,11040,11894.30,11960.00,11040.00,4.43M,-6.67%
2/4/2015,10645.7,10711.40,10842.90,10317.20,4.66M,-3.57%
2/5/2015,11237.2,10842.90,11237.20,10711.40,4.27M,5.56%
2/6/2015,11631.4,11237.20,11762.90,11237.20,4.10M,3.51%
2/9/2015,11697.2,11565.70,11960.00,11500.00,4.89M,0.57%
2/10/2015,12091.4,11828.60,12157.20,11697.20,3.50M,3.37%
2/11/2015,12091.4,11894.30,12222.90,11894.30,3.43M,0.00%
2/12/2015,11762.9,12091.40,12222.90,11697.20,3.42M,-2.72%
2/13/2015,11697.2,11762.90,11894.30,11631.40,2.62M,-0.56%
2/24/2015,12222.9,11894.30,12288.60,11828.60,2.35M,4.49%
2/25/2015,12354.3,12354.30,12814.30,12354.30,7.18M,1.08%
2/26/2015,12748.6,12420.00,12748.60,12420.00,5.36M,3.19%
2/27/2015,12748.6,12814.30,12880.00,12485.70,5.42M,0.00%
3/2/2015,12551.4,12617.20,12682.90,12354.30,3.97M,-1.55%
3/3/2015,12617.2,12485.70,12814.30,12485.70,4.80M,0.52%
3/4/2015,12617.2,12617.20,12748.60,12420.00,3.80M,0.00%
3/5/2015,12354.3,12682.90,12748.60,12354.30,3.35M,-2.08%
3/6/2015,12551.4,12288.60,12814.30,12157.20,4.80M,1.60%
3/9/2015,12288.6,12617.20,12617.20,12288.60,1.90M,-2.09%
3/10/2015,12354.3,12222.90,12485.70,12222.90,1.55M,0.53%
3/11/2015,12354.3,12354.30,12682.90,12222.90,3.52M,0.00%
3/12/2015,12420,12485.70,12551.40,12354.30,1.87M,0.53%
3/13/2015,12551.4,12551.40,12682.90,12485.70,3.08M,1.06%
3/16/2015,12354.3,12485.70,12551.40,12354.30,1.64M,-1.57%
3/17/2015,12288.6,12354.30,12485.70,12288.60,1.75M,-0.53%
3/18/2015,11960,12222.90,12222.90,11894.30,4.01M,-2.67%
3/19/2015,11828.6,12025.70,12091.40,11828.60,1.85M,-1.10%
3/20/2015,11894.3,11828.60,11960.00,11762.90,2.40M,0.56%
3/23/2015,11565.7,11960.00,12025.70,11565.70,2.85M,-2.76%
3/24/2015,11500,11565.70,11631.40,11237.20,3.20M,-0.57%
3/25/2015,11697.2,11565.70,11828.60,11500.00,2.44M,1.71%
3/26/2015,11631.4,11565.70,11960.00,11565.70,3.82M,-0.56%
3/27/2015,11565.7,11828.60,11828.60,11500.00,2.08M,-0.56%
3/30/2015,11302.9,11500.00,11631.40,11171.40,2.28M,-2.27%
3/31/2015,11368.6,11237.20,11500.00,11237.20,2.36M,0.58%
4/1/2015,11171.4,11368.60,11500.00,11105.70,2.42M,-1.73%
4/2/2015,11500,11171.40,11500.00,11105.70,2.54M,2.94%
4/3/2015,11434.3,11500.00,11631.40,11434.30,2.17M,-0.57%
4/6/2015,11302.9,11434.30,11500.00,11302.90,1.77M,-1.15%
4/7/2015,11368.6,11237.20,11500.00,11171.40,5.68M,0.58%
4/8/2015,11368.6,11500.00,11565.70,11302.90,4.05M,0.00%
4/9/2015,11697.2,11434.30,11697.20,11302.90,4.88M,2.89%
4/10/2015,11828.6,11697.20,12091.40,11697.20,4.80M,1.12%
4/13/2015,11894.3,11894.30,11960.00,11697.20,3.15M,0.56%
4/14/2015,11762.9,12025.70,12157.20,11762.90,5.56M,-1.10%
4/15/2015,11894.3,11697.20,11960.00,11631.40,2.92M,1.12%
4/16/2015,12091.4,11894.30,12091.40,11828.60,4.36M,1.66%
4/17/2015,11960,12025.70,12157.20,11960.00,3.35M,-1.09%
4/20/2015,11894.3,11894.30,11960.00,11762.90,2.37M,-0.55%
4/21/2015,11828.6,11960.00,12091.40,11828.60,3.25M,-0.55%
4/22/2015,11565.7,11697.20,11828.60,11434.30,4.66M,-2.22%
4/23/2015,11631.4,11500.00,11697.20,11434.30,2.49M,0.57%
4/24/2015,11631.4,11565.70,11762.90,11565.70,1.46M,0.00%
4/27/2015,11828.6,11631.40,11960.00,11631.40,2.77M,1.70%
5/4/2015,11171.4,11697.20,11828.60,11171.40,2.66M,-5.56%
5/5/2015,11631.4,11171.40,11697.20,11105.70,2.99M,4.12%
5/6/2015,11565.7,11631.40,11762.90,11500.00,2.40M,-0.56%
5/7/2015,11762.9,11565.70,11828.60,11434.30,1.05M,1.71%
5/8/2015,11960,11762.90,11960.00,11631.40,2.48M,1.68%
5/11/2015,11762.9,11960.00,11960.00,11762.90,686.16K,-1.65%
5/12/2015,11631.4,11762.90,11762.90,11434.30,1.67M,-1.12%
5/13/2015,11500,11500.00,11631.40,11302.90,1.26M,-1.13%
5/14/2015,11762.9,11434.30,11762.90,11434.30,1.14M,2.29%
5/15/2015,11434.3,11762.90,11762.90,11434.30,400.71K,-2.79%
5/18/2015,11105.7,11500.00,11500.00,11105.70,2.36M,-2.87%
5/19/2015,11368.6,11171.40,11368.60,11171.40,714.99K,2.37%
5/20/2015,11565.7,11368.60,11828.60,11302.90,1.50M,1.73%
5/21/2015,11697.2,11500.00,11828.60,11500.00,1.98M,1.14%
5/22/2015,11894.3,11828.60,11960.00,11631.40,2.24M,1.69%
5/25/2015,12091.4,11894.30,12091.40,11894.30,1.61M,1.66%
5/26/2015,12354.3,12025.70,12420.00,12025.70,3.55M,2.17%
5/27/2015,12420,12222.90,12551.40,12222.90,2.70M,0.53%
5/28/2015,12945.7,12420.00,13274.30,12288.60,3.80M,4.23%
5/29/2015,12814.3,12945.70,13142.90,12748.60,3.76M,-1.02%
6/1/2015,12945.7,12748.60,13274.30,12748.60,3.31M,1.03%
6/2/2015,12551.4,12945.70,13142.90,12551.40,3.88M,-3.05%
6/3/2015,12354.3,12485.70,12748.60,12354.30,3.10M,-1.57%
6/4/2015,12288.6,12420.00,12551.40,12157.20,4.05M,-0.53%
6/5/2015,12880,12288.60,13011.40,12288.60,2.56M,4.81%
6/8/2015,13077.2,13011.40,13405.70,13011.40,4.51M,1.53%
6/9/2015,12880,13011.40,13274.30,12748.60,3.17M,-1.51%
6/10/2015,12748.6,12880.00,12945.70,12485.70,3.09M,-1.02%
6/11/2015,12682.9,12814.30,12945.70,12617.20,2.11M,-0.52%
6/12/2015,12880,12880.00,13011.40,12748.60,2.52M,1.55%
6/15/2015,13668.6,12945.70,13668.60,12945.70,6.22M,6.12%
6/16/2015,13537.2,13800.00,13997.20,13537.20,3.79M,-0.96%
6/17/2015,13668.6,13405.70,13734.30,13340.00,2.06M,0.97%
6/18/2015,13602.9,13602.90,13734.30,13405.70,2.15M,-0.48%
6/19/2015,13668.6,13734.30,13931.40,13602.90,3.39M,0.48%
6/22/2015,13931.4,13734.30,13997.20,13734.30,2.99M,1.92%
6/23/2015,14207.3,14276.30,14345.30,14069.40,4.07M,1.98%
6/24/2015,14000.4,14207.30,14207.30,13931.40,4.63M,-1.46%
6/25/2015,13724.5,13931.40,14000.40,13724.50,4.98M,-1.97%
6/26/2015,13241.8,13724.50,13793.50,13241.80,4.39M,-3.52%
6/29/2015,13379.7,12965.90,13379.70,12965.90,2.71M,1.04%
6/30/2015,13241.8,13241.80,13517.60,13172.80,2.38M,-1.03%
7/1/2015,12965.9,13103.80,13241.80,12759.00,4.71M,-2.08%
7/2/2015,13655.6,12828.00,13793.50,12828.00,5.39M,5.32%
7/3/2015,13862.5,13793.50,14414.20,13793.50,5.25M,1.52%
7/6/2015,14000.4,13931.40,14138.40,13793.50,4.97M,0.99%
7/7/2015,14345.3,14000.40,14828.00,13724.50,6.46M,2.46%
7/8/2015,14621.1,14483.20,14966.00,14069.40,6.63M,1.92%
7/9/2015,14483.2,14414.20,14690.10,14207.30,3.51M,-0.94%
7/10/2015,15379.8,14690.10,15379.80,14621.10,7.23M,6.19%
7/13/2015,15862.5,15379.80,16069.40,15241.80,4.86M,3.14%
7/14/2015,15655.6,15862.50,16000.50,15310.80,4.82M,-1.30%
