Date,Price,Open,High,Low,Vol.,Change %
8/7/2015,14692,14846.00,14846.00,14538.00,339.98K,0.00%
8/10/2015,14615,14231.00,14615.00,14231.00,511.10K,-0.52%
8/11/2015,14538,14538.00,14538.00,14231.00,1.44M,-0.53%
8/12/2015,14231,14385.00,14538.00,14231.00,469.30K,-2.11%
8/13/2015,13615,14154.00,14154.00,13615.00,1.03M,-4.33%
8/14/2015,13385,13462.00,13615.00,13077.00,1.09M,-1.69%
8/17/2015,13231,13231.00,13385.00,13077.00,604.93K,-1.15%
8/18/2015,13154,13154.00,13231.00,13000.00,694.89K,-0.58%
8/19/2015,13154,13231.00,13308.00,13077.00,165.53K,0.00%
8/20/2015,13077,13077.00,13154.00,12923.00,926.43K,-0.59%
8/21/2015,12769,13000.00,13000.00,12692.00,435.71K,-2.36%
8/24/2015,12231,13077.00,13077.00,11923.00,761.06K,-4.21%
8/25/2015,11923,12231.00,12385.00,11923.00,952.41K,-2.52%
8/26/2015,12154,11923.00,12231.00,11923.00,1.33M,1.94%
8/27/2015,12308,12308.00,12385.00,12154.00,983.44K,1.27%
8/28/2015,13154,12385.00,13154.00,12385.00,538.42K,6.87%
8/31/2015,12769,13077.00,13077.00,12769.00,367.22K,-2.93%
